Name,Score,Genre,Episodes,Studios,Rating
Metal Fighter Miku,6,Action,33,J.C.Staff,PG-13 - Teens 13 or older
Unkai no Meikyuu Zeguy,6,Action,33,Unknown,R - 17+ (violence & profanity)
Alien 9,7,Action,32,J.C.Staff,R - 17+ (violence & profanity)
Gakuen Senki Muryou,7,Adventure,32,Madhouse,PG-13 - Teens 13 or older
Shamanic Princess,7,Adventure,32,Triangle Staff,PG-13 - Teens 13 or older
Lost Universe,7,Comedy,32,E&G Films,PG-13 - Teens 13 or older
Battle Athletess Daiundoukai,7,Action,32,AIC,PG-13 - Teens 13 or older
Battle Athletess Daiundoukai (TV),7,Action,32,AIC,PG - Children
DNA² OVA,7,Comedy,32,Madhouse,PG-13 - Teens 13 or older
Momoiro Sisters,6,Demons,32,Studio Deen,PG-13 - Teens 13 or older
Eden's Bowy,7,Adventure,32,Studio Deen,PG-13 - Teens 13 or older
Tennis no Ouji-sama: Sonzoku Yama no Hi,7,Supernatural,31,Production I.G,PG-13 - Teens 13 or older
Saber Marionette J Again,7,Drama,31,Hal Film Maker,PG-13 - Teens 13 or older
Kakurenbo,7,Action,31,Yamato Works,PG-13 - Teens 13 or older
Happy Seven: The TV Manga,6,Comedy,31,Studio Hibari,PG - Children
Coyote Ragtime Show,7,Action,31,ufotable,PG-13 - Teens 13 or older
Zero no Tsukaima,7,Adventure,30,J.C.Staff,PG-13 - Teens 13 or older
Masuda Kousuke Gekijou Gag Manga Biyori,7,Action,30,Artland,PG-13 - Teens 13 or older
Tsuyokiss,7,Drama,30,"Trinet Entertainment, Studio Hibari",PG-13 - Teens 13 or older
Gun-dou Musashi,6,Action,30,ACC Production,PG-13 - Teens 13 or older
Ar Tonelico: Sekai no Owari de Utai Tsuzukeru Shoujo,6,Action,30,Trans Arts,PG-13 - Teens 13 or older
Nitaboh,7,Adventure,30,Unknown,PG - Children
Kujira no Chouyaku,7,Fantasy,30,Tamura Shigeru Studio,G - All Ages
Aru Tabibito no Nikki,7,Comedy,30,Unknown,G - All Ages
Ihatov Gensou: Kenji no Haru,7,Ecchi,30,Group TAC,PG - Children
Wata no Kuni Hoshi,7,Action,30,Mushi Production,G - All Ages
Tatsu no Ko Tarou,7,Action,30,Toei Animation,G - All Ages
Nasu: Andalusia no Natsu,7,Ecchi,30,"Madhouse, Telecom Animation Film",PG-13 - Teens 13 or older
Macross Plus Movie Edition,8,Action,30,Triangle Staff,PG-13 - Teens 13 or older
Oban Star-Racers,8,Action,30,Hal Film Maker,PG - Children
Binbou Shimai Monogatari,7,Sci-Fi,30,Toei Animation,G - All Ages
Mobile Suit Gundam SEED C.E.73: Stargazer,7,Action,30,Sunrise,PG-13 - Teens 13 or older
Boku wa Konomama Kaeranai,6,Fantasy,30,J.C.Staff,PG-13 - Teens 13 or older
Seikimatsu★Darling,6,Fantasy,30,Unknown,PG-13 - Teens 13 or older
Tonagura!,7,Action,29,Daume,PG-13 - Teens 13 or older
Hoshizora Kiseki,6,Action,29,CoMix Wave Films,PG-13 - Teens 13 or older
Demashita! Powerpuff Girls Z,6,Slice of Life,29,Toei Animation,PG - Children
Bokura ga Ita,7,Fantasy,29,Artland,PG-13 - Teens 13 or older
Ame to Shoujo to Watashi no Tegami,6,Action,29,Unknown,G - All Ages
Aquarian Age: Sign for Evolution,6,Drama,29,Madhouse,PG-13 - Teens 13 or older
3x3 Eyes: Seima Densetsu,7,Adventure,29,Studio Junio,R - 17+ (violence & profanity)
Seihou Tenshi Angel Links,6,Action,29,Sunrise,PG-13 - Teens 13 or older
Chivas 1-2-3,6,Action,28,Daume,R - 17+ (violence & profanity)
Innocent Venus,7,Sci-Fi,28,Brain's Base,PG-13 - Teens 13 or older
Saber Marionette J to X,7,Action,28,Hal Film Maker,PG-13 - Teens 13 or older
Saber Marionette R,7,Action,28,Zero-G Room,PG-13 - Teens 13 or older
Hand Maid Mai,6,Sci-Fi,27,Tokyo Kids,PG-13 - Teens 13 or older
SF Saiyuuki Starzinger,7,Sci-Fi,27,Toei Animation,G - All Ages
One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!,7,Action,27,Toei Animation,PG-13 - Teens 13 or older
One Piece: Mamore! Saigo no Dai Butai,7,Military,27,Toei Animation,PG-13 - Teens 13 or older
Bishoujo Senshi Sailor Moon SuperS,8,Action,27,Toei Animation,PG-13 - Teens 13 or older
Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,8,Action,27,"Toei Animation, Production Reed",PG-13 - Teens 13 or older
Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future,7,Action,27,Sunrise,R - 17+ (violence & profanity)
Night Head Genesis,7,Magic,27,Bee Media,R - 17+ (violence & profanity)
Ankoku Shindenshou Takegami,6,Sci-Fi,27,J.C.Staff,R - 17+ (violence & profanity)
Yuugo: Koushounin,7,Action,26,Artland,R - 17+ (violence & profanity)
Project BLUE Chikyuu SOS,7,Drama,26,A.C.G.T.,PG-13 - Teens 13 or older
Zone of the Enders: 2167 Idolo,7,Action,26,Sunrise,PG-13 - Teens 13 or older
"Zone of the Enders: Dolores, I",7,Slice of Life,26,Sunrise,PG-13 - Teens 13 or older
Erementar Gerad,7,Music,26,Xebec,PG-13 - Teens 13 or older
Fushigi no Umi no Nadia,8,Drama,26,Gainax,PG-13 - Teens 13 or older
Fushigi no Umi no Nadia: Original Movie,5,Adventure,26,"Gainax, Group TAC",PG-13 - Teens 13 or older
Saint Seiya: Meiou Hades Meikai-hen,8,Action,26,Toei Animation,PG-13 - Teens 13 or older
Saint Seiya,8,Action,26,Toei Animation,PG-13 - Teens 13 or older
Saint Seiya: Shinku no Shounen Densetsu,7,Action,26,Toei Animation,PG-13 - Teens 13 or older
Saint Seiya: Jashin Eris,7,Adventure,26,Toei Animation,PG-13 - Teens 13 or older
Saint Seiya: Meiou Hades Juuni Kyuu-hen,8,Action,26,Toei Animation,PG-13 - Teens 13 or older
Saint Seiya: Kamigami no Atsuki Tatakai,7,Drama,26,Toei Animation,PG-13 - Teens 13 or older
Saint Seiya: Tenkai-hen Josou - Overture,7,Drama,26,Toei Animation,PG-13 - Teens 13 or older
Kyattou Ninden Teyandee,7,Drama,26,Tatsunoko Production,G - All Ages
Macross II: Lovers Again,6,Comedy,26,AIC,PG-13 - Teens 13 or older
Yoroiden Samurai Troopers,7,Action,26,Sunrise,PG-13 - Teens 13 or older
Yoroiden Samurai Troopers Gaiden,7,Drama,26,Sunrise,PG-13 - Teens 13 or older
Yoroiden Samurai Troopers Kikoutei Densetsu,7,Drama,26,Sunrise,PG-13 - Teens 13 or older
Yoroiden Samurai Troopers Message,6,Action,26,Sunrise,PG-13 - Teens 13 or older
Aquarian Age: Saga II - Don't Forget Me...,6,Ecchi,26,Madhouse,PG-13 - Teens 13 or older
Black Magic M-66,6,Action,26,"AIC, animate Film",R - 17+ (violence & profanity)
Ys,6,Action,26,Tokyo Kids,PG-13 - Teens 13 or older
Ys: Tenkuu no Shinden - Adol Christine no Bouken,7,Sci-Fi,26,Unknown,PG-13 - Teens 13 or older
Bishoujo Senshi Sailor Moon SuperS Gaiden: Ami-chan no Hatsukoi,7,Action,26,Toei Animation,PG-13 - Teens 13 or older
Taiyou no Ko Esteban,8,Action,26,Studio Pierrot,PG-13 - Teens 13 or older
Gakkou no Kaidan,8,Comedy,26,Studio Pierrot,PG-13 - Teens 13 or older
Choujuu Densetsu Gestalt,6,Mystery,26,Unknown,PG-13 - Teens 13 or older
Houma Hunter Lime,6,Kids,26,Production Reed,PG-13 - Teens 13 or older
Odin: Koushi Hansen Starlight,5,Comedy,26,"Toei Animation, Studio World",PG-13 - Teens 13 or older
Kidou Keisatsu Patlabor,7,Action,26,Studio Deen,PG-13 - Teens 13 or older
Kidou Keisatsu Patlabor: New OVA,8,Action,26,Sunrise,PG-13 - Teens 13 or older
WXIII Kidou Keisatsu Patlabor,7,Action,26,Madhouse,R - 17+ (violence & profanity)
Urusei Yatsura,8,Comedy,26,"Studio Pierrot, Studio Deen",PG-13 - Teens 13 or older
Project A-Ko 2: Daitokuji Zaibatsu no Inbou,7,Action,26,APPP,PG-13 - Teens 13 or older
Project A-Ko 4: Final,6,Action,26,Studio Fantasia,PG-13 - Teens 13 or older
Flag,7,Fantasy,26,The Answer Studio,PG-13 - Teens 13 or older
Omishi Mahou Gekijou: Risky★Safety,7,Action,26,APPP,PG - Children
Ginga Tetsudou 999 (Movie),8,Action,26,Toei Animation,PG-13 - Teens 13 or older
Sayonara Ginga Tetsudou 999: Andromeda Shuuchakueki,7,Super,26,"Toei Animation, Studio World",PG-13 - Teens 13 or older
The Animatrix,7,Action,26,"Madhouse, Studio 4°C",R - 17+ (violence & profanity)
Chobits Recap,7,Action,26,Madhouse,PG-13 - Teens 13 or older
Chikyuu Bouei Kigyou Dai-Guard,7,Action,26,Xebec,PG-13 - Teens 13 or older
Digimon Adventure 02,7,Comedy,26,Toei Animation,PG - Children
DT Eightron,6,Action,26,Sunrise,PG-13 - Teens 13 or older
Idaten Jump,7,Action,26,Production I.G,PG - Children
Eyeshield 21: Maboroshi no Golden Bowl,7,Action,26,Production I.G,PG - Children
Earthian,6,Action,26,"J.C.Staff, Production Reed",PG-13 - Teens 13 or older
Hamelin no Violin Hiki,7,Comedy,26,Studio Deen,PG-13 - Teens 13 or older
Aoki Densetsu Shoot!,7,Action,26,Toei Animation,PG-13 - Teens 13 or older
One Pound Gospel,6,Action,26,Gallop,PG-13 - Teens 13 or older
Ohoshi-sama no Rail,7,Comedy,26,Madhouse,G - All Ages
Fushigi na Koala Blinky,6,Drama,26,Nippon Animation,G - All Ages
Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi,7,Parody,26,Production I.G,PG - Children
Kyoushoku Soukou Guyver II,7,Action,26,Unknown,R - 17+ (violence & profanity)
Dororon Enma-kun,6,Sci-Fi,26,Toei Animation,PG-13 - Teens 13 or older
Shin Megami Tensei: Tokyo Mokushiroku,5,Mecha,26,J.C.Staff,R - 17+ (violence & profanity)
Yami no Shihosha Judge,5,Action,26,Unknown,R - 17+ (violence & profanity)
Eightman After,6,Action,26,J.C.Staff,R - 17+ (violence & profanity)
Bubblegum Crisis,7,Drama,26,"AIC, Artmic, Darts",PG-13 - Teens 13 or older
Bubblegum Crash,7,Adventure,26,Darts,PG-13 - Teens 13 or older
A.D. Police (TV),6,Action,26,Plum,PG-13 - Teens 13 or older
Cyber City Oedo 808,7,Adventure,26,Madhouse,R - 17+ (violence & profanity)
Hokuto no Ken 2,8,Action,26,Toei Animation,R - 17+ (violence & profanity)
Hokuto no Ken Movie,7,Action,26,Toei Animation,R - 17+ (violence & profanity)
Final Fantasy: The Spirits Within,6,Comedy,26,Square Enix,PG-13 - Teens 13 or older
Street Fighter II Movie,7,Action,26,Group TAC,PG-13 - Teens 13 or older
Detective Conan Movie 04: Captured in Her Eyes,8,Adventure,26,TMS Entertainment,PG-13 - Teens 13 or older
Detective Conan Movie 05: Countdown to Heaven,8,Military,26,TMS Entertainment,PG-13 - Teens 13 or older
Detective Conan Movie 06: The Phantom of Baker Street,8,Action,26,TMS Entertainment,PG-13 - Teens 13 or older
Detective Conan Movie 07: Crossroad in the Ancient Capital,8,Sports,26,TMS Entertainment,PG-13 - Teens 13 or older
Detective Conan Movie 08: Magician of the Silver Sky,8,Action,26,TMS Entertainment,PG-13 - Teens 13 or older
Detective Conan OVA 06: Follow the Vanished Diamond! Conan & Heiji vs. Kid!,7,Parody,26,TMS Entertainment,PG-13 - Teens 13 or older
Detective Conan OVA 01: Conan vs. Kid vs. Yaiba,7,Comedy,26,TMS Entertainment,PG-13 - Teens 13 or older
Atama Yama,6,Action,26,Studio Deen,PG - Children
Hi no Tori,7,Action,26,Tezuka Productions,G - All Ages
Taiho Shichau zo (TV),8,Slice of Life,26,Studio Deen,PG-13 - Teens 13 or older
Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki,7,Action,26,Tezuka Productions,PG-13 - Teens 13 or older
Kyoushoku Soukou Guyver (2005),7,Drama,26,OLM,PG-13 - Teens 13 or older
Watashi no Ashinaga Ojisan,8,Comedy,26,Nippon Animation,G - All Ages
Ojamajo Doremi Na-i-sho,8,Action,26,Toei Animation,G - All Ages
Uchuu Koukyoushi Maetel: Ginga Tetsudou 999 Gaiden,7,Adventure,26,Azeta Pictures,PG-13 - Teens 13 or older
Sengoku Kitan Youtouden Movie,6,Comedy,26,J.C.Staff,R - 17+ (violence & profanity)
Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On.,8,Adventure,26,A.C.G.T.,R - 17+ (violence & profanity)
Blue Gender: The Warrior,6,Adventure,26,Unknown,R - 17+ (violence & profanity)
Seikai no Monshou Special,7,Historical,26,Sunrise,PG-13 - Teens 13 or older
Yuusha-Ou GaoGaiGar Final,8,Fantasy,26,Sunrise,PG-13 - Teens 13 or older
Kyuuketsuhime Miyu,7,Fantasy,26,AIC,PG-13 - Teens 13 or older
Future GPX Cyber Formula,7,Slice of Life,26,Sunrise,PG - Children
Future GPX Cyber Formula 11,7,Mystery,26,Sunrise,PG-13 - Teens 13 or older
Future GPX Cyber Formula Zero,7,Drama,26,Sunrise,PG-13 - Teens 13 or older
Future GPX Cyber Formula Sin,8,Comedy,26,Sunrise,PG-13 - Teens 13 or older
Future GPX Cyber Formula: Early Days Renewal,6,Adventure,26,Sunrise,PG-13 - Teens 13 or older
Macross 7,7,Adventure,26,Production Reed,PG-13 - Teens 13 or older
Macross Dynamite 7,7,Action,26,Production Reed,PG-13 - Teens 13 or older
Macross 7 Encore,7,Action,26,Production Reed,PG-13 - Teens 13 or older
Macross 7 Movie: Ginga ga Ore wo Yondeiru!,7,Action,26,Production Reed,PG-13 - Teens 13 or older
IGPX: Immortal Grand Prix,7,Fantasy,26,Production I.G,PG-13 - Teens 13 or older
IGPX: Immortal Grand Prix (2005) 2nd Season,7,Fantasy,26,Production I.G,PG-13 - Teens 13 or older
Lupin III,8,Drama,26,Tokyo Movie Shinsha,PG-13 - Teens 13 or older
Lupin III: Alcatraz Connection,7,Fantasy,26,TMS Entertainment,PG-13 - Teens 13 or older
Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori,7,Romance,26,TMS Entertainment,PG-13 - Teens 13 or older
Lupin III: Dead or Alive,7,Comedy,26,Tokyo Movie Shinsha,PG-13 - Teens 13 or older
"Lupin III: Episode 0 ""First Contact""",8,Comedy,26,TMS Entertainment,R - 17+ (violence & profanity)
Lupin III: Hemingway Paper no Nazo,7,Romance,26,Tokyo Movie Shinsha,PG-13 - Teens 13 or older
Lupin III: $1 Money Wars,7,Action,26,TMS Entertainment,PG-13 - Teens 13 or older
Lupin III: Napoleon no Jisho wo Ubae,7,Mecha,26,Unknown,PG-13 - Teens 13 or older
Lupin III: Otakara Henkyaku Daisakusen!!,7,Comedy,26,TMS Entertainment,PG-13 - Teens 13 or older
Lupin III: Pilot Film (1978),6,Action,26,Unknown,PG-13 - Teens 13 or older
Lupin III: Nusumareta Lupin,7,Action,26,TMS Entertainment,PG-13 - Teens 13 or older
Lupin III: Cagliostro no Shiro,8,Slice of Life,26,Tokyo Movie Shinsha,PG-13 - Teens 13 or older
Lupin III: Ai no Da Capo - Fujiko's Unlucky Days,7,Action,26,Unknown,PG-13 - Teens 13 or older
Lupin III: Fuuma Ichizoku no Inbou,7,Action,26,Tokyo Movie Shinsha,PG-13 - Teens 13 or older
Lupin III: Harimao no Zaihou wo Oe!!,7,Fantasy,26,Unknown,PG-13 - Teens 13 or older
Lupin III: Honoo no Kioku - Tokyo Crisis,7,Action,26,Tokyo Movie Shinsha,PG-13 - Teens 13 or older
Lupin III: Lupin Ansatsu Shirei,7,Action,26,Unknown,PG-13 - Teens 13 or older
Lupin III: Walther P38,7,Sci-Fi,26,Unknown,PG-13 - Teens 13 or older
Ninja Mono,6,Action,26,Unknown,PG-13 - Teens 13 or older
Ginga Tetsudou no Yoru,7,Adventure,26,Group TAC,G - All Ages
Sol Bianca: Taiyou no Fune,6,Sci-Fi,26,AIC,PG-13 - Teens 13 or older
Mach GoGoGo,7,Adventure,26,Tatsunoko Production,PG-13 - Teens 13 or older
Hyakujuu-Ou GoLion,7,Adventure,26,Toei Animation,PG-13 - Teens 13 or older
Brigadoon: Marin to Melan,7,Action,26,Sunrise,PG-13 - Teens 13 or older
The Samurai,6,Adventure,26,Unknown,PG-13 - Teens 13 or older
L/R: Licensed by Royal,6,Action,26,TNK,PG-13 - Teens 13 or older
Key the Metal Idol,7,Music,26,Studio Pierrot,PG-13 - Teens 13 or older
Uchuu no Kishi Tekkaman,6,Action,26,Tatsunoko Production,G - All Ages
Uchuu no Kishi Tekkaman Blade,7,Comedy,26,Tatsunoko Production,R - 17+ (violence & profanity)
Memories,8,Adventure,26,"Madhouse, Studio 4°C",PG-13 - Teens 13 or older
Hakaima Sadamitsu,7,Action,26,Studio Deen,R - 17+ (violence & profanity)
Hakugei Densetsu,7,Action,26,"Studio Junio, Annapuru",PG-13 - Teens 13 or older
Baoh Raihousha,6,Action,26,Studio Pierrot,R - 17+ (violence & profanity)
Monster Farm: Enbanseki no Himitsu,7,Mystery,26,TMS Entertainment,PG-13 - Teens 13 or older
City Hunter,8,Drama,26,Sunrise,PG-13 - Teens 13 or older
City Hunter 2,8,Action,26,Sunrise,PG-13 - Teens 13 or older
City Hunter 3,8,Action,26,Sunrise,PG-13 - Teens 13 or older
City Hunter '91,8,Dementia,26,Sunrise,PG-13 - Teens 13 or older
City Hunter: Ai to Shukumei no Magnum,7,Action,26,"Sunrise, Production Reed",PG-13 - Teens 13 or older
City Hunter: Bay City Wars,7,Sci-Fi,26,Sunrise,PG-13 - Teens 13 or older
City Hunter: Hyakuman Dollar no Inbou,7,Slice of Life,26,Sunrise,PG-13 - Teens 13 or older
City Hunter: The Secret Service,7,Mecha,26,Sunrise,PG-13 - Teens 13 or older
City Hunter: Goodbye My Sweetheart,8,Mecha,26,Unknown,PG-13 - Teens 13 or older
City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo,7,Fantasy,26,Sunrise,PG-13 - Teens 13 or older
Sky Girls OVA,7,Adventure,26,J.C.Staff,PG-13 - Teens 13 or older
"Urusei Yatsura: Haru da, Tobidase!",7,Comedy,26,Studio Pierrot,PG-13 - Teens 13 or older
D.Gray-man,8,Adventure,26,TMS Entertainment,PG-13 - Teens 13 or older
Master Keaton,8,Action,26,Madhouse,R - 17+ (violence & profanity)
Youma,6,Comedy,26,J.C.Staff,R - 17+ (violence & profanity)
Akachan to Boku,8,Game,26,Studio Pierrot,G - All Ages
Kodomo no Omocha (TV),8,Slice of Life,26,Gallop,PG-13 - Teens 13 or older
.hack//Unison,7,Action,26,Bee Train,PG-13 - Teens 13 or older
Ginga Tetsudou Monogatari,7,Action,26,Planet,PG-13 - Teens 13 or older
Ginga Tetsudou 999,8,Adventure,26,Toei Animation,G - All Ages
Project ARMS,7,Action,26,TMS Entertainment,R - 17+ (violence & profanity)
Project ARMS: The 2nd Chapter,7,Comedy,26,TMS Entertainment,R - 17+ (violence & profanity)
Darkside Blues,6,Drama,26,J.C.Staff,R - 17+ (violence & profanity)
Maetel Legend,6,Horror,26,Vega Entertainment,PG-13 - Teens 13 or older
Aru Machi Kado no Monogatari,7,Action,26,Unknown,G - All Ages
Black Blood Brothers,7,Adventure,26,Group TAC,R - 17+ (violence & profanity)
Kaleido Star: Good da yo! Goood!!,7,Action,26,Unknown,G - All Ages
Mahou Shoujo Pretty Sammy (1996),7,Action,26,AIC,PG - Children
Mahou Shoujo Pretty Sammy Specials,6,Comedy,26,Unknown,PG - Children
Macross Flash Back 2012,7,Action,26,Unknown,PG-13 - Teens 13 or older
Detective Conan Movie 09: Strategy Above the Depths,8,Action,26,TMS Entertainment,PG-13 - Teens 13 or older
Detective Conan Movie 10: Requiem of the Detectives,8,Sci-Fi,26,TMS Entertainment,PG-13 - Teens 13 or older
Sci-fi Harry,6,Drama,26,APPP,R - 17+ (violence & profanity)
Mamotte! Lollipop,7,Adventure,26,Studio Comet,PG-13 - Teens 13 or older
UFO Princess Valkyrie 3: Seiresetsu no Hanayome,7,Action,26,TNK,PG-13 - Teens 13 or older
Sentou Yousei Shoujo Tasukete! Mave-chan,5,Action,26,Studio Fantasia,PG-13 - Teens 13 or older
Kirarin☆Revolution,7,Comedy,26,SynergySP,PG-13 - Teens 13 or older
Silent Möbius,7,Comedy,26,Radix,PG-13 - Teens 13 or older
Black Lagoon: The Second Barrage,8,Slice of Life,26,Madhouse,R - 17+ (violence & profanity)
Black Jack,8,Adventure,26,Tezuka Productions,PG-13 - Teens 13 or older
Black Jack the Movie,7,Comedy,26,Tezuka Productions,R - 17+ (violence & profanity)
Fuujin Monogatari,7,Parody,26,Production I.G,G - All Ages
Pokemon Crystal: Raikou Ikazuchi no Densetsu,7,Action,26,OLM,PG - Children
Pokemon Movie 08: Mew to Hadou no Yuusha Lucario,7,Action,26,OLM,PG - Children
Pokemon: Senritsu no Mirage Pokemon,6,Comedy,26,OLM,PG - Children
Bishoujo Yuugekitai Battle Skipper,5,Comedy,26,Artmic,PG-13 - Teens 13 or older
Kanon (2006),8,Fantasy,26,Kyoto Animation,PG-13 - Teens 13 or older
Shakugan no Shana: Koi to Onsen no Kougai Gakushuu!,7,Action,26,J.C.Staff,PG-13 - Teens 13 or older
Suki na Mono wa Suki Dakara Shou ga Nai!!,7,Action,26,Zexcs,PG-13 - Teens 13 or older
Ai Tenshi Densetsu Wedding Peach,7,Action,26,OLM,G - All Ages
Futari wa Precure: Splash☆Star,7,Romance,26,Toei Animation,G - All Ages
Death Note,9,Sci-Fi,26,Madhouse,R - 17+ (violence & profanity)
Busou Renkin,7,Adventure,26,Xebec,PG-13 - Teens 13 or older
Genshi Shounen Ryuu,6,Action,26,Toei Animation,PG-13 - Teens 13 or older
Pumpkin Scissors,7,Action,26,"Gonzo, AIC",R - 17+ (violence & profanity)
Touch: Cross Road - Kaze no Yukue,7,Action,26,Group TAC,PG-13 - Teens 13 or older
Souten no Ken,7,Action,26,APPP,R - 17+ (violence & profanity)
Brain Powerd,6,Action,26,Sunrise,PG-13 - Teens 13 or older
Yoake Mae yori Ruriiro na: Crescent Love,7,Adventure,26,Daume,PG-13 - Teens 13 or older
Super Robot Taisen OG The Animation,7,Horror,26,Brain's Base,PG-13 - Teens 13 or older
Negima!?,7,Adventure,26,Shaft,PG-13 - Teens 13 or older
Shin Taketori Monogatari: 1000-nen Joou,7,Mystery,26,Toei Animation,G - All Ages
1000-nen Joou: Queen Millennia,7,Mystery,26,Toei Animation,PG-13 - Teens 13 or older
Attack No.1,7,Adventure,26,Tokyo Movie Shinsha,PG-13 - Teens 13 or older
Hiatari Ryoukou! Yume no Naka ni Kimi ga Ita,6,Action,26,Unknown,PG-13 - Teens 13 or older
Queen Emeraldas,7,Romance,26,OLM,PG-13 - Teens 13 or older
Asatte no Houkou.,7,Action,26,J.C.Staff,PG-13 - Teens 13 or older
Tokimeki Memorial: Only Love,7,Adventure,26,"Studio Pierrot, AIC ASTA",PG-13 - Teens 13 or older
Shounen Onmyouji,8,Action,26,Studio Deen,PG-13 - Teens 13 or older
Shijou Saikyou no Deshi Kenichi,8,Action,26,TMS Entertainment,PG-13 - Teens 13 or older
Lovedol: Lovely Idol,6,Romance,26,TNK,PG-13 - Teens 13 or older
Yamato Nadeshiko Shichihenge♥,8,Romance,26,Nippon Animation,PG-13 - Teens 13 or older
Magic Knight Rayearth II,8,Action,26,TMS Entertainment,PG-13 - Teens 13 or older
Pokemon Advanced Generation,7,Ecchi,26,OLM,PG - Children
Pokemon Diamond & Pearl,7,Sci-Fi,26,OLM,PG - Children
Koukaku Kidoutai: Stand Alone Complex - Solid State Society,8,Sci-Fi,26,Production I.G,R - 17+ (violence & profanity)
Kaitou Saint Tail,8,Adventure,26,TMS Entertainment,G - All Ages
Sumomomo Momomo: Chijou Saikyou no Yome,7,Drama,26,Studio Hibari,PG-13 - Teens 13 or older
Otome wa Boku ni Koishiteru,7,Comedy,26,feel.,PG-13 - Teens 13 or older
Happiness!,6,Supernatural,26,Artland,PG-13 - Teens 13 or older
Ghost Hunt,8,Action,26,J.C.Staff,PG-13 - Teens 13 or older
Jungle Taitei,7,Action,26,Mushi Production,G - All Ages
Kishin Douji Zenki,7,Action,26,Studio Deen,PG-13 - Teens 13 or older
Get Ride! AMDriver,6,Action,26,Studio Deen,PG-13 - Teens 13 or older
Code Geass: Hangyaku no Lelouch,9,Action,26,Sunrise,R - 17+ (violence & profanity)
Bakumatsu Kikansetsu Irohanihoheto,7,Action,26,Sunrise,PG-13 - Teens 13 or older
Taiho Shichau zo,7,Action,26,Studio Deen,PG-13 - Teens 13 or older
Koisuru Tenshi Angelique: Kokoro no Mezameru Toki,7,Action,26,Satelight,PG-13 - Teens 13 or older
Kiniro no Corda: Primo Passo,7,Action,26,Yumeta Company,PG-13 - Teens 13 or older
Mouryou Senki Madara,6,Action,26,"Studio Fantasia, animate Film",PG-13 - Teens 13 or older
Gift: Eternal Rainbow,7,Drama,26,OLM,PG-13 - Teens 13 or older
Submarine 707R,6,Action,26,Production Reed,PG-13 - Teens 13 or older
009-1,6,Comedy,26,Ishimori Entertainment,R - 17+ (violence & profanity)
Stratos 4 Advance Kanketsu-hen,7,Drama,26,Studio Fantasia,PG-13 - Teens 13 or older
Spectral Force,4,Adventure,26,Unknown,PG-13 - Teens 13 or older
Aoi Umi no Tristia,6,Adventure,26,ufotable,PG - Children
Tenpou Ibun: Ayakashi Ayashi,7,Action,26,Bones,R - 17+ (violence & profanity)
Mamoru-kun ni Megami no Shukufuku wo!,7,Action,26,Zexcs,PG-13 - Teens 13 or older
Bartender,7,Fantasy,26,Palm Studio,PG-13 - Teens 13 or older
Legendz: Yomigaeru Ryuuou Densetsu,7,Adventure,26,Gallop,G - All Ages
Kujibiki♥Unbalance,6,Comedy,26,Ajia-Do,PG-13 - Teens 13 or older
Hataraki Man,7,Action,26,Gallop,PG-13 - Teens 13 or older
Jigoku Shoujo Futakomori,8,Action,26,Studio Deen,R - 17+ (violence & profanity)
Arcade Gamer Fubuki,5,Action,26,Shaft,PG-13 - Teens 13 or older
Panyo Panyo Di Gi Charat,7,Comedy,26,Madhouse,G - All Ages
Casshern: Robot Hunter,6,Action,26,Tatsunoko Production,PG-13 - Teens 13 or older
Eat-Man '98,7,Adventure,26,Studio Deen,PG-13 - Teens 13 or older
Galaxy Angel Rune,6,Adventure,26,Satelight,PG-13 - Teens 13 or older
Red Garden,7,Comedy,26,Gonzo,R - 17+ (violence & profanity)
Super Robot Taisen OG: Divine Wars,7,Comedy,26,OLM,PG-13 - Teens 13 or older
Katekyo Hitman Reborn!,8,Action,26,Artland,PG-13 - Teens 13 or older
Kekkaishi (TV),8,Action,26,Sunrise,PG-13 - Teens 13 or older
Venus Versus Virus,6,Action,26,Studio Hibari,PG-13 - Teens 13 or older
Galerians: Rion,5,Action,26,Unknown,R - 17+ (violence & profanity)
Jikuu Ihoujin Kyoko: Chocola ni Omakase!,6,Slice of Life,26,"Production I.G, Production Reed",G - All Ages
Captain Tsubasa: Road to 2002,7,Police,26,"Madhouse, Group TAC",PG-13 - Teens 13 or older
Massugu ni Ikou.,6,Adventure,26,Yumeta Company,PG - Children
Soreyuke! Uchuu Senkan Yamamoto Yohko (1999),7,Action,26,J.C.Staff,PG-13 - Teens 13 or older
Negima!? Haru Special!?,7,Action,26,Shaft,PG-13 - Teens 13 or older
Haru no Ashioto The Movie: Ourin Dakkan,5,Mystery,26,Asahi Production,PG-13 - Teens 13 or older
Kai Doh Maru,6,Adventure,26,Production I.G,R - 17+ (violence & profanity)
